Tipe,No. Sertifikat,Tgl Bon,No. Job,Nilai,Pembayaran,Keterangan
BIAYA LAIN,KK26050434,29-05-2026,38/V,100000,CREDIT,AMPRAH PIL
BIAYA LAIN,LK26050107C,18-05-2026,38/V,750000,CREDIT,O CHASIS 3
BIAYA LAIN,LK26050108C,19-05-2026,38/V,20000,CREDIT,FULL PANE
BIAYA LAIN,LK26050108C,19-05-2026,38/V,60000,CREDIT,EMPTY SUPIR 3
BIAYA LAIN,LK26050108C,19-05-2026,38/V,90000,CREDIT,FULL SUPIR 3
BIAYA LAIN,KK26050416,21-05-2026,38/V,50000,CREDIT,AMPRAH TGL15/05
LIFT ON,LK26050104A,13-05-2026,38/V,2872000,CREDIT,6X20
LIFT OFF,LK26050105A,15-05-2026,38/V,1909000,CREDIT,6X20
BIAYA LAIN,LK26050105B,15-05-2026,38/V,6000,CREDIT,ADMOFF
BIAYA LAIN,LK26050105B,15-05-2026,38/V,4000,CREDIT,VGM
BIAYA LAIN,LK26050104C,13-05-2026,38/V,4000,CREDIT,DO
PIUTANG,,20-05-2026,38/V,2100000,CREDIT,BURUH 16MEI
PEB,KK26050421A,20-05-2026,39/V,84000,CREDIT,12X20
BIAYA LAIN,KK26050421B,20-05-2026,39/V,22000,CREDIT,FC
LIFT OFF,LK26050104B,13-05-2026,39/V,3759000,CREDIT,12X20
BIAYA LAIN,LK26050104C,13-05-2026,39/V,15000,CREDIT,ADMOFF
LIFT ON,LK26050104A,13-05-2026,39/V,5020000,CREDIT,12X20
BIAYA LAIN,LK26050104C,13-05-2026,39/V,15000,CREDIT,ADMON
BIAYA LAIN,LK26050104C,13-05-2026,39/V,4000,CREDIT,DO
BIAYA LAIN,LK26050104C,13-05-2026,39/V,12000,CREDIT,NPE
BIAYA LAIN,LK26050104C,13-05-2026,39/V,8000,CREDIT,VGM
BIAYA LAIN,LK26050106C,16-05-2026,39/V,26000,CREDIT,OPRT+TALLY
PIUTANG,KK26050430A,25-05-2026,43/V,151400,CREDIT,VL MTP 047
BIAYA LAIN,KK26050434,29-05-2026,43/V,75000,CREDIT,AMMPRAH
BIAYA LAIN,LK26050110D,21-05-2026,43/V,5000,CREDIT,OPTR+ATLLY
PEB,KK26060446A,29-05-2026,43/V,7000,CREDIT,1X20
LIFT OFF,LK26050111A,22-05-2026,43/V,506000,CREDIT,1X20
BIAYA LAIN,LK26050111B,22-05-2026,43/V,6000,CREDIT,ADMOFF
BIAYA LAIN,LK26050111B,22-05-2026,43/V,4000,CREDIT,VGM
BIAYA LAIN,LK26050111B,22-05-2026,43/V,1000,CREDIT,NPE
LIFT ON,LK26050106A,16-05-2026,43/V,550000,CREDIT,1X20
PEB,,30-05-2026,43/V,30000,CREDIT,NOTUL TGL PERK
BIAYA LAIN,LK26050109C,20-05-2026,44/V,40000,CREDIT,OPTR+TALLY DEPO
BIAYA LAIN,LK26050110D,21-05-2026,44/V,70000,CREDIT,MINTA NO
BIAYA LAIN,LK26050108C,19-05-2026,44/V,500000,CREDIT,U MKN SUPIR 10
PEB,KK26060438A,22-05-2026,44/V,100000,CREDIT,AJU
BIAYA LAIN,KK26060438B,22-05-2026,44/V,500000,CREDIT,PMRKS BC
BIAYA LAIN,KK26060438B,22-05-2026,44/V,175000,CREDIT,U MKN BC
BIAYA LAIN,KK26060438B,22-05-2026,44/V,28000,CREDIT,"PRINT, MATERAI"
PEB,KK26060441A,26-05-2026,44/V,70000,CREDIT,10X40
BIAYA LAIN,LK26050106C,16-05-2026,44/V,10000,CREDIT,ADMOFF
BIAYA LAIN,LK26050106C,16-05-2026,44/V,10000,CREDIT,ADMON
LIFT ON,LK26050106A,16-05-2026,44/V,8000000,CREDIT,10X40
BIAYA LAIN,LK26050106C,16-05-2026,44/V,4000,CREDIT,VGM
